Accessed on Sun Sep 11 2016 04:10:05 GMT-0700 (PDT)
 
×

1611 Owners Of Flower Queen
All collectors with one or more of these.
COLLECTOR	TRADER
GRADE	# OWNED	
"AS BIG AS MOUNTAINS"
COMPLETION
 Tasha Lohr	F	2×	44/96	  GET
 Jesse Brack	B+	3×	95/96	  GET
 Luke Gibson	A+	2×	95/96	  GET
 BMai Pham	D	2×	90/96	  GET
 Mymy Mey	F	6×	90/96	  GET
 Ulf Malmberg	D	3×	96/96	  GET
 IdolRoaming	A	6×	96/96	  GET
 Carrie Myers	A	3×	93/96	  GET
 Neko	C+	2×	52/96	  GET
 Chris Carey	A+	4×	96/96	  GET
 Beno Parbleu	D+	4×	96/96	  GET
 Gabsy	A+	5×	96/96	  GET
 Matt Rock	A	2×	94/96	  GET
 Nuno Sousa	F	2×	43/96	  GET
 Amanda Peeples	A+	2×	96/96	  GET
 Ivelin Peychev	C-	7×	96/96	  GET
 Christian Hartmann	A-	5×	96/96	  GET
 Dan Edwards	A+	2×	95/96	  GET
 Nat Lewis	D+	4×	85/96	  GET
 Paul Patricio	C-	2×	79/96	  GET
 Aleksandra Dimitrijevic	B+	3×	13/96	  GET
 Justine U	A	6×	96/96	  GET
 Ramiro Franco	D	2×	88/96	  GET
 Caio Beltrao - ilustract	B	14×	96/96	  GET
 Janegatsby	A+	7×	96/96	  GET
 Sarah Geddry	A+	5×	96/96	  GET
 Juan Camilo	C+	5×	96/96	  GET
 Xinxi	A	11×	96/96	  GET
 Michael Lim	F	2×	96/96	  GET
 Marco Sousa	A+	2×	82/96	  GET
 Sarah J.	F	2×	91/96	  GET
 Neoblackguard	A+	9×	91/96	  GET
 Cheyenne Clark	A	5×	96/96	  GET
 Jose Martinez	A+	7×	80/96	  GET
 Maria Dot	A	7×	96/96	  GET
 Andreia Alves	F+	4×	96/96	  GET
 Lillian F.	A+	2×	96/96	  GET
 Mandarina	D-	3×	83/96	  GET
 Filipp Trialikov	F	9×	90/96	  GET
 Jessica Kuykendall	B+	2×	96/96	  GET
 Vicky Sumbodo	D	5×	96/96	  GET
 Billy Knapper	A+	4×	84/96	  GET
 Marc De Souza	D	3×	74/96	  GET
 J K	A+	5×	96/96	  GET
 Karinni.p7	D	2×	39/96	  GET
 Antoine Llorca	C	6×	61/96	  GET
 Ryanjmack	A+	4×	96/96	  GET
 Feras Khagani	F	2×	14/96	  GET
 Sónia PB Gomes	A-	3×	95/96	  GET
 Isabelle Chan	D-	2×	96/96	  GET
 Amlyreze	C-	7×	85/96	  GET
 Andy Peninger	B	3×	72/96	  GET
 Alicia Robotunicorn	D+	3×	91/96	  GET
 Irene M	A+	4×	90/96	  GET
 J P	F	7×	96/96	  GET
 Mark Fogle	A+	3×	96/96	  GET
 Elizabeth Kidder	A+	8×	93/96	  GET
 Leon Yonzon	A	9×	96/96	  GET
 Kyra Rheeder-Kleist	A+	2×	24/96	  GET
 Alice	D	2×	90/96	  GET
 Cassandra Barrett	A+	3×	96/96	  GET
 Megan wants the old NeonMob back	A+	4×	96/96	  GET
 Justin Kendall	B+	5×	96/96	  GET
 Mia von Sillein	C+	6×	96/96	  GET
 Chris Messina	B-	5×	95/96	  GET
 Calvin H	F	3×	87/96	  GET
 Annie Piphany	A+	6×	96/96	  GET
 Caitlin Riblett	A-	2×	77/96	  GET
 Victor Ware	C+	3×	93/96	  GET
 Iamtotal	A+	2×	16/96	  GET
 Caroline Critchlow	A+	2×	28/96	  GET
 miam miam	A-	2×	78/96	  GET
 Nicholas Kinloch	B+	6×	85/96	  GET
 Josh Alley	F	3×	96/96	  GET
 Jamie Hunter	B	4×	90/96	  GET
 Magda Dams	A+	3×	96/96	  GET
 Gencie Salter	A-	6×	89/96	  GET
 Whereisvera	D+	3×	96/96	  GET
 Falloutpilot	F+	4×	85/96	  GET
 Ryan Brill	F	2×	73/96	  GET
 Renee Ya	D	4×	96/96	  GET
 Tim Latshaw	A	6×	93/96	  GET
 Layton	A+	6×	89/96	  GET
 Stephanie Liu	A-	4×	96/96	  GET
 Juliet Lauser	A+	8×	96/96	  GET
 Suzie C	A+	3×	96/96	  GET
 Melanie Easterbrook	A+	4×	96/96	  GET
 ztudentkhen	F+	3×	79/96	  GET
 Avery CL	D	2×	96/96	  GET
 Marius Milea	F	5×	94/96	  GET
 carroll jones	F+	1×	79/96	  GET
 Faroma	D+	1×	15/96	  GET
 Zipporahairmail	C	1×	15/96	  GET
 Augie Dylan ODell	C	1×	15/96	  GET
 Stacey Teal	D+	1×	6/96	  GET
 LiviBunny	F+	1×	43/96	  GET
 Winnie Lao	A+	1×	2/96	  GET
 Marcel RB	C	1×	2/96	  GET
 Irene Ciuci	B	1×	16/96	  GET
 Joao Rio	A+	1×	42/96	  GET
 Hermie Jr. Cornejo	D	1×	9/96	  GET
 Becca W	A-	1×	54/96	  GET
 Enigmatic	D	1×	54/96	  GET
 Jennifer Shtefan	A+	1×	34/96	  GET
 April Mae Berza	D+	1×	6/96	  GET
 Carol Su	C	1×	64/96	  GET
 Ren Mercer	B	1×	48/96	  GET
 Naru Thon	C	1×	8/96	  GET
 Mrkr Trn	A+	1×	96/96	  GET
 Charlotte Moore	D	1×	24/96	  GET
 Mxyzptlk	B+	1×	29/96	  GET
 Bauke Schildt	A+	1×	70/96	  GET
 Pri Mizuh	B+	1×	15/96	  GET
 B Zell	A+	1×	95/96	  GET
 Nkvp	C-	1×	8/96	  GET
 Kegan Lee Heke	C	1×	8/96	  GET
 Thenerdypixel	D-	1×	13/96	  GET
 Marco Riccio	F	1×	68/96	  GET
 Melinda Bargar	A+	1×	42/96	  GET
 Marcia Lee	A-	1×	79/96	  GET
 ChibiTora	C+	1×	20/96	  GET
 Fluffyfarts	D	1×	2/96	  GET
 Rachel Peters	D+	1×	18/96	  GET
 Mike Jones	F	1×	46/96	  GET
 Hanomi Kumiko	C	1×	19/96	  GET
 Brandon Matzke	D+	1×	24/96	  GET
 Gaby.rezende	C-	1×	9/96	  GET
 Ain Berces	C	1×	8/96	  GET
 Nick Barrett	A+	1×	96/96	  GET
 Oscar Falcón Lara	A+	1×	79/96	  GET
 Joel Glovier	A-	1×	8/96	  GET
 BrieBunny	F	1×	24/96	  GET
 SumireLythrum	B-	1×	35/96	  GET
 Hallie Elizabeth	F	1×	32/96	  GET
 Whitney	B+	1×	73/96	  GET
 Vanessa Zanini	A+	1×	8/96	  GET
 Cee Cee	B+	1×	96/96	  GET
 Della Chen	B	1×	63/96	  GET
 LaRena Whitham	B	1×	85/96	  GET
 Jermaine Dasargo	D+	1×	16/96	  GET
 Eric Su	C-	1×	46/96	  GET
 sally s	C-	1×	70/96	  GET
 nica.oronos	D+	1×	19/96	  GET
 Vittoriafranceschi96	A+	1×	89/96	  GET
 Ameyuri	F	1×	38/96	  GET
 Derrick McCain	D+	1×	24/96	  GET
 Loke LucCs Salvatore	D	1×	8/96	  GET
 ethel manibo	B	1×	14/96	  GET
 tyler warrick	D+	1×	11/96	  GET
 John MacLeod	A+	1×	45/96	  GET
 Alenia Dark	D+	1×	83/96	  GET
 Edouard Duplessis	C+	1×	8/96	  GET
 Justine Peña	C	1×	8/96	  GET
 Jack La	F	1×	21/96	  GET
 Kingrasp	D+	1×	12/96	  GET
 Nisha Gulati	C	1×	4/96	  GET
 George Biryukov	D+	1×	25/96	  GET
 Dichroic	D	1×	45/96	  GET
 Chump Magic	A-	1×	24/96	  GET
 Cheryl Ann	D+	1×	6/96	  GET
 Neolyth	C	1×	17/96	  GET
 Doppelgänger	D	1×	59/96	  GET
 Astrid Pinel	C-	1×	5/96	  GET
 Lucas Basso	C	1×	12/96	  GET
 nikol	F	1×	75/96	  GET
 Wmihalarias	C	1×	10/96	  GET
 Vera Santos	F	1×	47/96	  GET
 Venusbunnyj	C	1×	8/96	  GET
 Eandxbjv	D+	1×	44/96	  GET
 Zoic	C+	1×	49/96	  GET
 Jeni May	C	1×	96/96	  GET
 Marilia de Dirceu	F	1×	46/96	  GET
 Beth Hammer	C-	1×	34/96	  GET
 Rebecca	A+	1×	96/96	  GET
 Luccaso	B+	1×	63/96	  GET
 Centurianstorm	B	1×	2/96	  GET
 Jessica Eichor	F+	1×	35/96	  GET
 Ian Fernandez	C-	1×	14/96	  GET
 Raveness Nicole	A	1×	46/96	  GET
 Mariyah Nur	C	1×	6/96	  GET
 Lopo Tanini	A+	1×	59/96	  GET
 Vinícius Pasa	D+	1×	6/96	  GET
 Jajamalixi	C	1×	8/96	  GET
 Kendra Bond	D+	1×	39/96	  GET
 dainekutai	C-	1×	26/96	  GET
 Macarooni	D+	1×	64/96	  GET
 Laura Ramirez	C+	1×	62/96	  GET
 Zorua_the_zorro	C	1×	9/96	  GET
 Ana	A+	1×	95/96	  GET
 Steve O'Connor	B-	1×	58/96	  GET
 Alden Parmelee	D-	1×	37/96	  GET
 Jason O'Brien	D+	1×	17/96	  GET
 Liam Flaherty	F	1×	1/96	  GET
 Dana Walker	C	1×	17/96	  GET
 Chelsea Peterson	F	1×	51/96	  GET
 Eviota Alia	C	1×	9/96	  GET
 AB lA	C	1×	8/96	  GET
 AJ Nunez	C-	1×	9/96	  GET
 Viralik	F	1×	18/96	  GET
 Jeff Escalante	A-	1×	66/96	  GET
 Snake_pliskin	C	1×	13/96	  GET
 April Cunningham	C-	1×	10/96	  GET
 Dumitru	B-	1×	90/96	  GET
 Arutomat	C-	1×	10/96	  GET
 Heather Buchel	D+	1×	46/96	  GET
 Ariel Shi Ying	C-	1×	7/96	  GET
 Soul_Monster	D+	1×	8/96	  GET
 Stealth22	C-	1×	56/96	  GET
 Bloodshatteredqueen	C-	1×	13/96	  GET
 Mike McDonald	B	1×	30/96	  GET
 Abegail Abegail	D+	1×	8/96	  GET
 slack tahr	D-	1×	5/96	  GET
 Franklin John Pacres	F	1×	84/96	  GET
 bernardette	F	1×	48/96	  GET
 AnnaTheresa Leiren	C-	1×	4/96	  GET
 Jessi Young	C-	1×	29/96	  GET
 Carter Cellini	D	1×	3/96	  GET
 Jim Stevens	A+	1×	66/96	  GET
 Creyes	D+	1×	11/96	  GET
 Ana Lara	C	1×	4/96	  GET
 Namine	A+	1×	8/96	  GET
 Jason Whitford	A	1×	8/96	  GET
 Diaz.business.gd	A+	1×	26/96	  GET
 Chanon Cserepy	D-	1×	2/96	  GET
 Jens Hviid	A+	1×	96/96	  GET
 Barney Mullan	C	1×	8/96	  GET
 Cathrine Bulgakova	C+	1×	46/96	  GET
 Q Hurt	B-	1×	62/96	  GET
 Andre Bauto	C-	1×	8/96	  GET
 Abby	A+	1×	45/96	  GET
 Antoine Renault	D+	1×	4/96	  GET
 Kelvin Tse	A+	1×	39/96	  GET
 Lucy Walker	D-	1×	22/96	  GET
 Claudiu Andrei	C	1×	96/96	  GET
 Iliana Petrova (Rabbit)	A+	1×	2/96	  GET
 Uks2	C+	1×	12/96	  GET
 andri kle	F+	1×	96/96	  GET
 Sydney Nguyen	C	1×	10/96	  GET
 TOUCHMOVE.	D+	1×	2/96	  GET
 Scrivenfuchs	F	1×	49/96	  GET
 Eder Trujillo Montaño	C	1×	8/96	  GET
 Talya Brown	A+	1×	96/96	  GET
 Florence Caplin	A+	1×	92/96	  GET
 Enes SELEK	C+	1×	20/96	  GET
 Nalajess	C+	1×	67/96	  GET
 Yam Esquivel	D	1×	4/96	  GET
 si Hakim	A-	1×	29/96	  GET
 Katia Marinichev	C	1×	9/96	  GET
 Kaitlyn Madarang	C	1×	9/96	  GET
 Gabriel Knight	C-	1×	26/96	  GET
 Kako Smo	A	1×	96/96	  GET
 Alice Coudrec	D+	1×	28/96	  GET
 Dauthleikr	D-	1×	23/96	  GET
 Matt Gillespie	F	1×	40/96	  GET
 Billie Ward	C-	1×	25/96	  GET
 5kybox	C	1×	7/96	  GET
 Kellyn Richardson	F	1×	4/96	  GET
 Stan Stotch	C	1×	7/96	  GET
 Khadija H.	F	1×	4/96	  GET
 Duncan Larose	D	1×	7/96	  GET
 roger podactor	A-	1×	39/96	  GET
 Desolation Glitch	C	1×	6/96	  GET
 Andrew Smith	C+	1×	84/96	  GET
 Eliswon	B+	1×	49/96	  GET
 Kris Todd	A+	1×	96/96	  GET
 Ian Main	A+	1×	90/96	  GET
 Kay	D+	1×	29/96	  GET
 Carly	F	1×	52/96	  GET
 Heylolita	D	1×	27/96	  GET
 Oscar Marcelo	A+	1×	96/96	  GET
 Koolza	A+	1×	88/96	  GET
 Julia Rodriguez	D+	1×	19/96	  GET
 Knghtwalk	B+	1×	10/96	  GET
 Say Adil	F+	1×	44/96	  GET
 Tiberiu Ion	C	1×	8/96	  GET
 justinoser	D	1×	17/96	  GET
 sharon nowlan	C-	1×	35/96	  GET
 Robin Jones	A+	1×	50/96	  GET
 Annalise Chisholm	C	1×	2/96	  GET
 Paula Mortise	D+	1×	20/96	  GET
 Marcel Strof	B	1×	15/96	  GET
 Yolanda Rosete Valencia	D+	1×	3/96	  GET
 Maria Nunez Cardenas	C-	1×	2/96	  GET
 Dave Wilhelm	A+	1×	95/96	  GET
 Jessica Dahmen	C	1×	9/96	  GET
 Haylee Moran	A+	1×	70/96	  GET
 jacald	A	1×	9/96	  GET
 Ashley Clark	D+	1×	47/96	  GET
 Glenn Henares II	D	1×	10/96	  GET
 Kanane Jones	F	1×	84/96	  GET
 Kyle Arch	B-	1×	93/96	  GET
 Katrambit	F+	1×	10/96	  GET
 Lenny Patterson	D-	1×	52/96	  GET
 David Casey	A+	1×	96/96	  GET
 Nuui	F	1×	64/96	  GET
 Faith	C	1×	24/96	  GET
 Otto Salminen	F	1×	50/96	  GET
 McKenzie Peterson	F	1×	11/96	  GET
 Mina M	A+	1×	96/96	  GET
 Alexander Dekker	A+	1×	86/96	  GET
 Yiiiim	C-	1×	31/96	  GET
 Amirune	B+	1×	45/96	  GET
 Radovan Webdesigner	F	1×	54/96	  GET
 Clare Lee	D	1×	31/96	  GET
 Marina Fraga Maia	C-	1×	79/96	  GET
 Alvaro Sierra	A+	1×	54/96	  GET
 Elizabeth Barnes	A+	1×	94/96	  GET
 Cammorris	B+	1×	11/96	  GET
 Patricia Gaisano	D+	1×	22/96	  GET
 Richard Pedersen	F	1×	24/96	  GET
 Tomer Fridland	C-	1×	10/96	  GET
 Cooper	A+	1×	57/96	  GET
 Micheal Sawyer	C	1×	8/96	  GET
 Matt Brett	A	1×	33/96	  GET
 Jeff Vance	C	1×	17/96	  GET
 Julio Cubides	C	1×	2/96	  GET
 Santiago Speyer	F	1×	14/96	  GET
 Nicka Takamura	F	1×	17/96	  GET
 Xristos Panagiotou	B-	1×	25/96	  GET
 Zach Wilkinson	A+	1×	54/96	  GET
 daniel reiiel	C-	1×	96/96	  GET
 Hoechong	D+	1×	8/96	  GET
 Mateja Dacic	C	1×	9/96	  GET
 Craig Snedeker	A+	1×	92/96	  GET
 Vera Micin	F	1×	55/96	  GET
 Elaine.maciel.silva	F+	1×	23/96	  GET
 Daniel Vazquez	D+	1×	62/96	  GET
 Sparrow3183	A-	1×	73/96	  GET
 Strikingvapor	B+	1×	85/96	  GET
 Antonio Martinez	A+	1×	59/96	  GET
 Brian Rossa	F	1×	82/96	  GET
 Sarah Jane	F	1×	96/96	  GET
 Apriljanesworld	C	1×	1/96	  GET
 Janelyne Pagador	B	1×	4/96	  GET
 Maggie Silvermintz	C	1×	6/96	  GET
 Ric Cas	C-	1×	6/96	  GET
 Kate B	C	1×	61/96	  GET
 Ricayanto	D+	1×	8/96	  GET
 ChoCo	A	1×	31/96	  GET
 Tiger Monkey	A+	1×	90/96	  GET
 ElephanTurtle	C+	1×	60/96	  GET
 Ika Suyata	A-	1×	91/96	  GET
 Belinda Williams	D+	1×	9/96	  GET
 Hannah Winchester	F+	1×	20/96	  GET
 Leonardo Avesani	F	1×	78/96	  GET
 Phil Lavigne	B-	1×	48/96	  GET
 Sometimeslove	A+	1×	65/96	  GET
 Steffi S.	F	1×	68/96	  GET
 xander katigbak	F	1×	51/96	  GET
 Loren Reed	B+	1×	59/96	  GET
 Da Ne	A+	1×	96/96	  GET
 Adam Pyrah	D+	1×	9/96	  GET
 Tu Truong	A+	1×	9/96	  GET
 Gliocasneko	A-	1×	90/96	  GET
 Karen Mack	A+	1×	96/96	  GET
 Julio Antonaccio	B	1×	81/96	  GET
 kbjohnson	B-	1×	29/96	  GET
 Melody Liu	B+	1×	64/96	  GET
 Reiva Bella	C-	1×	22/96	  GET
 Freef ree	A+	1×	15/96	  GET
 Bruno Sobhie	C	1×	12/96	  GET
 Rebeca Indira	C+	1×	74/96	  GET
 Mallory Molina	C+	1×	71/96	  GET
 Taylor Falcon	D	1×	9/96	  GET
 Bwunyan	C	1×	4/96	  GET
 Sara Samples	A+	1×	32/96	  GET
 Boon Chuan Lim	A+	1×	43/96	  GET
 Stephas_	F	1×	20/96	  GET
 Leticia Lippe	C+	1×	8/96	  GET
 Claudia Ito	C	1×	8/96	  GET
 Eduardo Oliveira	C	1×	8/96	  GET
 Caglar Onder	A+	1×	96/96	  GET
 Marissa Edwards	D+	1×	14/96	  GET
 Cindy Thi Pham	F+	1×	66/96	  GET
 Navi	C	1×	93/96	  GET
 Mister Loli	A-	1×	96/96	  GET
 Fryingpansam93	A+	1×	96/96	  GET
 Tyth	D+	1×	94/96	  GET
 aeriporteau	F	1×	22/96	  GET
 Pau Servin	C	1×	23/96	  GET
 Sarah Hurd	D-	1×	14/96	  GET
 Bryan Nichols	A+	1×	20/96	  GET
 NordicTurtle	A+	1×	96/96	  GET
 Rachael Nguyen	C	1×	13/96	  GET
 Mayra Colao	A+	1×	15/96	  GET
 Sarah Austin	D+	1×	87/96	  GET
 Matt Scribner	D+	1×	87/96	  GET
 fart	C	1×	3/96	  GET
 Mabi Bo	D+	1×	13/96	  GET
 Rasmi	B	1×	12/96	  GET
 Gilbert	C	1×	16/96	  GET
 Luiza Figueiredo	B	1×	87/96	  GET
 Andrew Colclough	A	1×	27/96	  GET
 Risan Bahar	C	1×	5/96	  GET
 Rebecca Erickson	A+	1×	75/96	  GET
 "arie"	C-	1×	4/96	  GET
 Jordanreid2699	F	1×	9/96	  GET
 blackdustbloodline	A	1×	40/96	  GET
 Joanna Huff	B	1×	16/96	  GET
 Diaz_franklin50	D+	1×	55/96	  GET
 Perla Turrubiates Rodríguez	C	1×	8/96	  GET
 Dreaming.of.who.i.am	C	1×	11/96	  GET
 Everlast	A+	1×	72/96	  GET
 Michael Gutierrez	C	1×	9/96	  GET
 Jorge Goyco	A+	1×	5/96	  GET
 Gabootie	D	1×	9/96	  GET
 K R	F	1×	96/96	  GET
 Freakypancake	B-	1×	14/96	  GET
 Mgravelle	B-	1×	70/96	  GET
 Deseree Touchet	B	1×	65/96	  GET
 Cleonique Hilsaca	A+	1×	96/96	  GET
 Hihello2u	C-	1×	54/96	  GET
 Herbalassailant	C+	1×	75/96	  GET
 ish	B-	1×	19/96	  GET
 Kazumitakashi	C	1×	9/96	  GET
 Ashlie Gomez-Pilcher	B+	1×	3/96	  GET
 Danny Oliver	C	1×	8/96	  GET
 Yolanda Sheehan	D+	1×	96/96	  GET
 Heidi Utt	A+	1×	90/96	  GET
 Misslauradora	A	1×	23/96	  GET
 Jake Manson	C-	1×	8/96	  GET
 Imacookie	C	1×	10/96	  GET
 Z	C-	1×	59/96	  GET
 Michael Figueiras	F	1×	44/96	  GET
 Draghici Dalia	C	1×	8/96	  GET
 Alejandro Serrano	A+	1×	28/96	  GET
 Champdude	F+	1×	11/96	  GET
 Charlie Espaillat	D+	1×	8/96	  GET
 Ashnyl	C-	1×	4/96	  GET
 Sierra Goehring	C-	1×	15/96	  GET
 Mahara Zamban	D	1×	7/96	  GET
 fran nuñez	F	1×	79/96	  GET
 Lucas Hanazawa	D	1×	15/96	  GET
 Maggie Gravelle	B+	1×	96/96	  GET
 Matthew Walsh	C-	1×	70/96	  GET
 Slobodan Kovacevic	A-	1×	24/96	  GET
 Thomas	A	1×	83/96	  GET
 Juan Duran	C	1×	23/96	  GET
 Paul Thrasher	B	1×	3/96	  GET
 Cedric Meeuwsen	C	1×	8/96	  GET
 Katepohe	C-	1×	13/96	  GET
 Alexander Kudymov	C	1×	18/96	  GET
 Zoanthia	A+	1×	86/96	  GET
 Benjamin Wolf	C-	1×	18/96	  GET
 Devon Woodrow	F	1×	93/96	  GET
 Huxelle	C	1×	25/96	  GET
 John Nathaniel David	D+	1×	13/96	  GET
 Noris Xhelepi	C-	1×	20/96	  GET
 Kye Zustiak	A+	1×	46/96	  GET
 Mustafa Gürşan	C	1×	5/96	  GET
 The_arteest	C-	1×	12/96	  GET
 Krista Kyle	F	1×	38/96	  GET
 Leksie Berrey	C	1×	9/96	  GET
 Kelly Bean	A-	1×	96/96	  GET
 Justin Kuntz	A+	1×	65/96	  GET
 Eleni Panayiotou	A+	1×	77/96	  GET
 Nathsic	B	1×	15/96	  GET
 Johan Wettergren	C+	1×	38/96	  GET
 Ryan O'Sullivan	A+	1×	51/96	  GET
 Ryan Karlin	A	1×	95/96	  GET
 Natalie Loseva	D-	1×	6/96	  GET
 Wintersnowman12345	C-	1×	82/96	  GET
 Josh	D	1×	4/96	  GET
 Gonzalo Rodríguez Píriz	A	1×	50/96	  GET
 Patricia Kruschewsky	D+	1×	96/96	  GET
 Ananunes91	C	1×	8/96	  GET
 Bianca	F	1×	51/96	  GET
 PrEditor	A+	1×	13/96	  GET
 Samantha Johnson	B+	1×	88/96	  GET
 Mtfc1029	C-	1×	56/96	  GET
 Caz White	A+	1×	28/96	  GET
 Christine Lukich	A+	1×	57/96	  GET
 Syafiqsaizuldin	D+	1×	6/96	  GET
 Ari_chan	A+	1×	96/96	  GET
 Staronaut	B	1×	7/96	  GET
 Villex666	C	1×	21/96	  GET
 Notjess	C	1×	96/96	  GET
 Tere	A+	1×	36/96	  GET
 Mark Roxas	C-	1×	16/96	  GET
 Pamela Candido	D	1×	57/96	  GET
 Diana Pinho	F	1×	27/96	  GET
 Arski Navas	B+	1×	8/96	  GET
 Erik Miller	A+	1×	89/96	  GET
 Candida Winkler	B+	1×	93/96	  GET
 Parker Dahl	C	1×	34/96	  GET
 Caseyxy	C	1×	5/96	  GET
 Paul Whitham	D-	1×	58/96	  GET
 Brad Nelson	A+	1×	42/96	  GET
 Estrella	D	1×	16/96	  GET
 Retromoustache	A	1×	13/96	  GET
 Billcosbo	C	1×	8/96	  GET
 Anya Jaye	D	1×	13/96	  GET
 Vincent F.	C	1×	11/96	  GET
 Silke Lambrecht	F	1×	80/96	  GET
 FlyGirl	A+	1×	96/96	  GET
 patricia_incienso	C-	1×	64/96	  GET
 Pepa Grau	C	1×	19/96	  GET
 Christa Harden	C	1×	9/96	  GET
 Bellawoods24	C+	1×	15/96	  GET
 Chris Drackett	D	1×	10/96	  GET
 Rebecca Latham	D+	1×	6/96	  GET
 Saiprasad Prabhu	D-	1×	7/96	  GET
 Margoslxix	B-	1×	65/96	  GET
 Thechosenone	D+	1×	8/96	  GET
 Stamex	B-	1×	59/96	  GET
 Mstrsprty	D-	1×	15/96	  GET
 Robert Blankenship	A+	1×	96/96	  GET
 Rizki Maulana	C	1×	5/96	  GET
 Cherry Blossom	C-	1×	3/96	  GET
 Ashley Kolodziej	A+	1×	58/96	  GET
 Alainaj	D+	1×	16/96	  GET
 Maiqui Yu	C-	1×	5/96	  GET
 Rodriguezc0500	F+	1×	48/96	  GET
 Boopboop	C-	1×	19/96	  GET
 Pruneslate	D+	1×	15/96	  GET
 John Harold Pagao	C	1×	8/96	  GET
 Abbie McGunnigle	B+	1×	68/96	  GET
 Adelino Henriques	F	1×	64/96	  GET
 Mdm_2002	D-	1×	5/96	  GET
 Oscar Siqueira	D-	1×	29/96	  GET
 Huskygamer	C	1×	7/96	  GET
 Thegeech	D+	1×	91/96	  GET
 Emily Kittelson	A+	1×	96/96	  GET
 Yulla	B	1×	19/96	  GET
 Madi Huffman	D	1×	16/96	  GET
 Shmvart	C-	1×	8/96	  GET
 Laura Vitoriano	C	1×	17/96	  GET
 Alex.alpha14	C	1×	8/96	  GET
 Peter Duijzers	F	1×	36/96	  GET
 Frank B.	C+	1×	71/96	  GET
 T4yl0r	C+	1×	45/96	  GET
 Psyro	D-	1×	16/96	  GET
 Hikarielsa	D+	1×	63/96	  GET
 Michael Lee	C-	1×	31/96	  GET
 Tom Nora	A+	1×	71/96	  GET
 Lilly Quinn	D+	1×	36/96	  GET
 Mlgjaime	D+	1×	13/96	  GET
 Michelle Cruz	A+	1×	75/96	  GET
 Chi Mo	D+	1×	5/96	  GET
 Jmstar	A+	1×	5/96	  GET
 Adam Whitcroft	F	1×	22/96	  GET
 André Santaló de Oliveira	B	1×	11/96	  GET
 Victoria Duenez	D+	1×	24/96	  GET
 Rbitfrog	B	1×	42/96	  GET
 Meggiek0	C+	1×	21/96	  GET
 Emilian Manolache	D	1×	86/96	  GET
 Bopsy	D+	1×	8/96	  GET
 Kawaiivampire	D+	1×	9/96	  GET
 Part.anima	F	1×	8/96	  GET
 alma	F	1×	9/96	  GET
 Omfgreen	D+	1×	4/96	  GET
 Jimmy Lee	F	1×	73/96	  GET
 Rogério Caetano	C-	1×	4/96	  GET
 TaoAnzel	C-	1×	10/96	  GET
 Kimona Wickham	D+	1×	37/96	  GET
 Daryl Ginn	D+	1×	86/96	  GET
 Tabitha Thomas	C	1×	8/96	  GET
 Alex Cloz	A+	1×	65/96	  GET
 Unimportantwalrus	D+	1×	20/96	  GET
 Ivo_robles	F	1×	8/96	  GET
 Dzi Burn	F	1×	17/96	  GET
 Dinnerandamovie	A-	1×	65/96	  GET
 Thomas Daugherty	B	1×	18/96	  GET
 Adam Cheslow	D	1×	51/96	  GET
 Tenshi7	A+	1×	7/96	  GET
 Perrysage	C-	1×	24/96	  GET
 Andrew Lockhart	C	1×	24/96	  GET
 tyver1998	F	1×	19/96	  GET
 Elizabeth Harker	F	1×	26/96	  GET
 Yiwei P'ng	F	1×	14/96	  GET
 May Cui	A+	1×	33/96	  GET
 Summerends	F	1×	51/96	  GET
 Carrie Hu	A	1×	86/96	  GET
 Airbear	C	1×	4/96	  GET
 Karin	B	1×	26/96	  GET
 Ak47.brooks	C-	1×	60/96	  GET
 Cory O'Brien	A+	1×	92/96	  GET
 祁 初	B-	1×	9/96	  GET
 Kallisti	C	1×	8/96	  GET
 Marie.lool	A+	1×	7/96	  GET
 Stephanie Damitz	A+	1×	80/96	  GET
 Joemorgan1394	D	1×	18/96	  GET
 JJ Craft	A	1×	72/96	  GET
 Cristy Sumpay	B	1×	5/96	  GET
 Maricel Baldoni	C	1×	26/96	  GET
 Hiro N.	A+	1×	76/96	  GET
 Kieran Daniel	C-	1×	9/96	  GET
 Beartheskald	D	1×	29/96	  GET
 James Raymond	B	1×	54/96	  GET
 Isdaren	A-	1×	96/96	  GET
 Elisa Oliveira	C+	1×	49/96	  GET
 Gustavo Forster	C-	1×	6/96	  GET
 Colin P	A+	1×	75/96	  GET
 Ryanw	D-	1×	8/96	  GET
 Noriko Kakihara	A+	1×	96/96	  GET
 Fzcheerchic	F	1×	17/96	  GET
 Ralva	D+	1×	8/96	  GET
 Adrian Pajota	C	1×	9/96	  GET
 Itsagathar	C-	1×	11/96	  GET
 Tyago Neres	A+	1×	34/96	  GET
 India.macpherson	B	1×	62/96	  GET
 Lassy Oolorann	B+	1×	68/96	  GET
 Tiffani Thrace	A+	1×	76/96	  GET
 Scylla	C+	1×	96/96	  GET
 Choc Kulet	D+	1×	29/96	  GET
 Ray Ross	A+	1×	86/96	  GET
 Zimm Groslet	A+	1×	38/96	  GET
 Lissa	A+	1×	27/96	  GET
 Herbesm	C-	1×	26/96	  GET
 Eleonora Galimberti	A+	1×	14/96	  GET
 Shawn Seibert	F+	1×	15/96	  GET
 Mateus Almeida	F+	1×	31/96	  GET
