Accessed on Sun Sep 11 2016 05:25:18 GMT-0700 (PDT)
 
×

1083 Owners Of Fields of Hope
All collectors with one or more of these.
COLLECTOR	TRADER
GRADE	# OWNED	
"AS BIG AS MOUNTAINS"
COMPLETION
 Emily Schein	D+	2×	47/96	  GET
 Zoanthia	A+	1×	86/96	  GET
 Anthony Mims	A+	1×	91/96	  GET
 Juan Ruiz	B	1×	45/96	  GET
 Natalie56	D-	1×	96/96	  GET
 Robin Bray	A+	1×	92/96	  GET
 Charlotte Moore	D	1×	24/96	  GET
 Ahmed Tareq	B-	1×	7/96	  GET
 The_arteest	C-	1×	12/96	  GET
 The Hawddamor	C-	1×	27/96	  GET
 Guillaume A	F	1×	83/96	  GET
 Kirsten	C	1×	79/96	  GET
 Ciaran Reinhardt	A+	1×	96/96	  GET
 Meryhernandez111	B	1×	42/96	  GET
 Justin Mezzell	F	1×	96/96	  GET
 Stass Sheleh	C-	1×	9/96	  GET
 Opticvinyl	B-	1×	96/96	  GET
 didabean	D	1×	96/96	  GET
 Neoblackguard	A+	1×	91/96	  GET
 Delaney Shea	C	1×	81/96	  GET
 Danny Baker	F	1×	60/96	  GET
 Andrew-David Jahchan	A+	1×	62/96	  GET
 Lucas Souza	A-	1×	85/96	  GET
 Bryan Paterson	A+	1×	96/96	  GET
 Tyler Finck	B	1×	81/96	  GET
 Andy Kimbrell	B+	1×	96/96	  GET
 Michael Lim	F	1×	96/96	  GET
 Gene Kwatny	A+	1×	96/96	  GET
 Herbalassailant	C+	1×	75/96	  GET
 Tasha Massman	C-	1×	87/96	  GET
 Criselle Chua	C-	1×	10/96	  GET
 Nalajess	C+	1×	67/96	  GET
 Stelliform	A+	1×	82/96	  GET
 David Lopez	F	1×	93/96	  GET
 Ran Liu	B+	1×	86/96	  GET
 Stuart Deck	F	1×	96/96	  GET
 Amanda Foley	C-	1×	17/96	  GET
 Eyra PG	C-	1×	8/96	  GET
 Craig Coles	A-	1×	96/96	  GET
 Drix Mok	A	1×	68/96	  GET
 Алексий Сидеров	D-	1×	17/96	  GET
 Faroma	D+	1×	15/96	  GET
 Gigi Magic	A+	1×	96/96	  GET
 Oemmao	A+	1×	1/96	  GET
 Strikingvapor	B	1×	85/96	  GET
 NordicTurtle	A+	1×	96/96	  GET
 Kerry Kao	D	1×	96/96	  GET
 Theangrygorilla	C	1×	9/96	  GET
 Aika V	A+	1×	96/96	  GET
 Benjamin Wolf	C-	1×	18/96	  GET
 Lily Marie	D+	1×	96/96	  GET
 Monad2013	C-	1×	9/96	  GET
 Christina Reid	B+	1×	89/96	  GET
 Ryan Quigley	A+	1×	9/96	  GET
 Micci144	C	1×	7/96	  GET
 Kyle Arch	B-	1×	93/96	  GET
 Marco Riccio	F	1×	68/96	  GET
 Erin Moore	D+	1×	39/96	  GET
 Sarah J.	F	1×	91/96	  GET
 Kha0siti	D-	1×	9/96	  GET
 Matt Rock	A	1×	94/96	  GET
 Jesse Brack	B+	1×	95/96	  GET
 Marc De Souza	D	1×	74/96	  GET
 Franklin John Pacres	F	1×	84/96	  GET
 sky2lama	D	1×	3/96	  GET
 Elizabeth Barnes	A+	1×	94/96	  GET
 Emi	A+	1×	96/96	  GET
 maveor_	C-	1×	28/96	  GET
 Jessica Nguyen	F+	1×	7/96	  GET
 Eleni Panayiotou	A+	1×	77/96	  GET
 Ralph Lyon	A+	1×	96/96	  GET
 Justine U	A	1×	96/96	  GET
 Adam Arfman	D	1×	96/96	  GET
 Ales k	F	1×	96/96	  GET
 James Sanders	F+	1×	96/96	  GET
 Codemunkys!	F	1×	96/96	  GET
 Gwen Brinsmead	A-	1×	96/96	  GET
 Lisa Healey	D+	1×	72/96	  GET
 Liliana Melendez	A+	1×	96/96	  GET
 Faith Fong	A+	1×	86/96	  GET
 sally s	C-	1×	70/96	  GET
 Kevin Florky	C	1×	4/96	  GET
 Heidi Utt	A+	1×	90/96	  GET
 Pedro Ivo Hudson	A+	1×	66/96	  GET
 Cheetahspeed3	B-	1×	69/96	  GET
 David Poulton	A+	1×	96/96	  GET
 Noriko Kakihara	A+	1×	96/96	  GET
 Lucida Whisk	C+	1×	69/96	  GET
 Maureen Tai	A+	1×	96/96	  GET
 Erik Vaate	A	1×	96/96	  GET
 Thoredrin	B+	1×	96/96	  GET
 Sarah Charlton	A	1×	96/96	  GET
 Zipporahairmail	C	1×	15/96	  GET
 Kalina	A	1×	12/96	  GET
 Gustav Wedholm	A+	1×	83/96	  GET
 Stephanie Colon	F	1×	96/96	  GET
 Alexia Aponte	F	1×	88/96	  GET
 Sergio Pinho	F	1×	96/96	  GET
 Everlast	A+	1×	72/96	  GET
 Muffin E. Goodness	A+	1×	95/96	  GET
 Joao Rio	A	1×	42/96	  GET
 Oli Odd	F+	1×	87/96	  GET
 Mymy Mey	F	1×	90/96	  GET
 Cooper	A+	1×	57/96	  GET
 Zhangarronxun	A+	1×	5/96	  GET
 donroyco	A+	1×	95/96	  GET
 stringfellow	A+	1×	96/96	  GET
 Yulia Linderoth	D	1×	73/96	  GET
 Gaia14	F	1×	69/96	  GET
 Madie	C-	1×	14/96	  GET
 Sergey Barsukov	A+	1×	96/96	  GET
 Onetake	A+	1×	96/96	  GET
 Dominic Flask	A+	1×	96/96	  GET
 Marshellina Monica	C	1×	34/96	  GET
 Duane Banzon	F	1×	86/96	  GET
 Hihello2u	C-	1×	54/96	  GET
 Mina M	A+	1×	96/96	  GET
 Lari Elovainio	A+	1×	96/96	  GET
 Kloker Manuel	C	1×	23/96	  GET
 Nick Barrett	A+	1×	96/96	  GET
 Nico Hart	A+	1×	58/96	  GET
 Brenda González	F+	1×	62/96	  GET
 Mjerk	A+	1×	96/96	  GET
 Maggie Gravelle	B+	1×	96/96	  GET
 Andy Peninger	B	1×	72/96	  GET
 Renjissh	D-	1×	55/96	  GET
 Jakob Cocking	A+	1×	29/96	  GET
 Kanane Jones	F	1×	84/96	  GET
 Monitor	A-	1×	96/96	  GET
 Lap Fung Lee	A+	1×	95/96	  GET
 Luiza Figueiredo	B	1×	87/96	  GET
 Dichroic	D	1×	45/96	  GET
 Monica Nunes	A	1×	96/96	  GET
 Shane Boyce	A+	1×	96/96	  GET
 Cory O'Brien	A+	1×	92/96	  GET
 Francis Lammé	F	1×	18/96	  GET
 Neolyth	C	1×	17/96	  GET
 Ian Main	A+	1×	90/96	  GET
 Chelsea Peterson	F	1×	51/96	  GET
 CherubiAngel	C	1×	67/96	  GET
 Scott Blomquist	A+	1×	80/96	  GET
 Brian Rossa	F	1×	82/96	  GET
 Richard Walker	B-	1×	72/96	  GET
 Jazmin Medina	B+	1×	91/96	  GET
 Elizabeth.anne1983	D	1×	92/96	  GET
 Brittany Burton	B-	1×	96/96	  GET
 Kristina Werdenberg	A+	1×	96/96	  GET
 Jeni May	C	1×	96/96	  GET
 Ian Donahue	B	1×	88/96	  GET
 Menoyui	F	1×	72/96	  GET
 Karen Mack	A+	1×	96/96	  GET
 Lliske	B-	1×	25/96	  GET
 matisse9	F+	1×	96/96	  GET
 Jarett	C	1×	96/96	  GET
 Jim Stevens	A+	1×	66/96	  GET
 Herbesm	C-	1×	26/96	  GET
 Frombiefan	F	1×	85/96	  GET
 Stevo FC	B+	1×	92/96	  GET
 Luscius Aregon	D+	1×	87/96	  GET
 carroll jones	F+	1×	79/96	  GET
 Nuui	F	1×	64/96	  GET
 Emilian Manolache	D	1×	86/96	  GET
 Antoine Llorca	C	1×	61/96	  GET
 Chelsea Hantken	D	1×	91/96	  GET
 Alej V	C	1×	84/96	  GET
 William El Khoury	C	1×	2/96	  GET
 vicky	F+	1×	41/96	  GET
 C.savage	C-	1×	43/96	  GET
 Cassie Dunn	A+	1×	96/96	  GET
 jesibunni	C+	1×	96/96	  GET
 desire tomas	C+	1×	96/96	  GET
 Dmitry Krutkov	B	1×	93/96	  GET
 Alepopg	B+	1×	62/96	  GET
 David Casey	A+	1×	96/96	  GET
 Nayeli Alvarado	C	1×	89/96	  GET
 Notjess	C	1×	96/96	  GET
 crowbit	A+	1×	96/96	  GET
 Jack Kopix	D+	1×	96/96	  GET
 Mackenzie Kramer	F	1×	54/96	  GET
 Beaatriz Ribeiro	D+	1×	21/96	  GET
 Cynthia Lam	B-	1×	36/96	  GET
 Christian Hartmann	A-	1×	96/96	  GET
 Stephanie Schwartz	A+	1×	93/96	  GET
 Mike Armstrong	A+	1×	96/96	  GET
 Eric Su	C-	1×	46/96	  GET
 Jenilee Dunson	D-	1×	14/96	  GET
 Gina Malvogen	D	1×	96/96	  GET
 Doodles (Del) Castoni	A+	1×	96/96	  GET
 Mille Heidi	F+	1×	96/96	  GET
 Kostas Anatolitis	A+	1×	91/96	  GET
 Scott Yzer	D+	1×	96/96	  GET
 Nate Rapai	A+	1×	96/96	  GET
 Alvaro Sierra	A+	1×	54/96	  GET
 Annawoodward101	D	1×	17/96	  GET
 Alice	D	1×	90/96	  GET
 Shelly Brown-Elkins	A+	1×	90/96	  GET
 Carl Jimenez	D	1×	8/96	  GET
 Mgravelle	B-	1×	70/96	  GET
 Machelle Selken	B	1×	92/96	  GET
 Autum Roberts	B-	1×	20/96	  GET
 riley vier	A+	1×	17/96	  GET
 Rinnie	D	1×	3/96	  GET
 Alice Zombie	C+	1×	86/96	  GET
 Caro Zanoria	D	1×	95/96	  GET
 Iván Ka	C+	1×	92/96	  GET
 Amanda Busby	A	1×	96/96	  GET
 David Allen	A+	1×	96/96	  GET
 Lillian F.	A+	1×	96/96	  GET
 Kawaiivampire	D+	1×	9/96	  GET
 Missmmai	C	1×	5/96	  GET
 Daisuki	D	1×	46/96	  GET
 Laurice Soleta	C	1×	7/96	  GET
 Sean Bolster	A+	1×	4/96	  GET
 B Zell	A+	1×	95/96	  GET
 Juliet C.	A+	1×	73/96	  GET
 Drasorius	D-	1×	85/96	  GET
 Beccalayne313	D+	1×	91/96	  GET
 Mikin Ming	C	1×	10/96	  GET
 Kris Todd	A+	1×	96/96	  GET
 Katie Murray	F	1×	96/96	  GET
 bas e.	D-	1×	96/96	  GET
 Steve McKinney	A+	1×	90/96	  GET
 Isabelle Chan	D-	1×	96/96	  GET
 Erin Toh	F	1×	96/96	  GET
 Vee	D-	1×	15/96	  GET
 Ignacio	A+	1×	96/96	  GET
 Andreia Alves	F+	1×	96/96	  GET
 Cyrus Malkin	A+	1×	96/96	  GET
 Azabrowski3734	B	1×	57/96	  GET
 Marius Milea	F	1×	94/96	  GET
 colle owino	C+	1×	81/96	  GET
 Julia Agustín	D-	1×	26/96	  GET
 jess116	A+	1×	86/96	  GET
 Maite Durano	F	1×	50/96	  GET
 Paula Breton	A+	1×	39/96	  GET
 Pamela Santos	F	1×	50/96	  GET
 Alla K	D+	1×	52/96	  GET
 Ashley Kolodziej	A+	1×	58/96	  GET
 Spiritsandshadows	D+	1×	36/96	  GET
 Spt188	C-	1×	16/96	  GET
 Carly	F	1×	52/96	  GET
 VeSania HanaKo	C+	1×	96/96	  GET
 Elisa Oliveira	C+	1×	49/96	  GET
 Rebecca Lee	C-	1×	92/96	  GET
 Yin Chan	C	1×	8/96	  GET
 Lerle Scha	F	1×	7/96	  GET
 Ariel Espiritu Santo	A	1×	96/96	  GET
 Daniyel Mills	A+	1×	96/96	  GET
 Victoria Roden	B	1×	84/96	  GET
 Csongor Kiss	A+	1×	96/96	  GET
 Lisa	D+	1×	96/96	  GET
 Vittoriafranceschi96	A+	1×	89/96	  GET
 CG donoviç	B	1×	7/96	  GET
 Paola Casillas	A	1×	96/96	  GET
 Snapsmiles	A	1×	17/96	  GET
 Rae Ma	A	1×	81/96	  GET
 Georgia	A+	1×	96/96	  GET
 Daryl Ginn	D+	1×	86/96	  GET
 Grace Mitchell	D	1×	47/96	  GET
 Zoe	D-	1×	89/96	  GET
 Ganesh Kahadane	F	1×	89/96	  GET
 Zozee	D	1×	96/96	  GET
 Jose Martinez	A+	1×	80/96	  GET
 Tagkaman	D-	1×	18/96	  GET
 Tyth	D+	1×	94/96	  GET
 Victor Cruz	D+	1×	96/96	  GET
 Elias	A+	1×	28/96	  GET
 Zach Wilkinson	A+	1×	54/96	  GET
 Hannah	D	1×	96/96	  GET
 Peekaboohime	D-	1×	92/96	  GET
 Maria Peixoto	F	1×	51/96	  GET
 Charlie Bravo4	A+	1×	96/96	  GET
 Helena Hajsek	A+	1×	94/96	  GET
 Rachelle Hobbins	D+	1×	8/96	  GET
 Ruby Taylor	B-	1×	73/96	  GET
 Tiger Monkey	A+	1×	90/96	  GET
 Vivian Emily	F+	1×	96/96	  GET
 Boris Melgarejo	F	1×	81/96	  GET
 Julio Antonaccio	B	1×	81/96	  GET
 Elise Inferrera	D	1×	95/96	  GET
 Josh Hinds	A+	1×	94/96	  GET
 Troilus Pascual	D+	1×	9/96	  GET
 Linden	B	1×	96/96	  GET
 Cataphract	D	1×	78/96	  GET
 Kimi S	D	1×	93/96	  GET
 Krista Kyle	F	1×	38/96	  GET
 Nat Lewis	D+	1×	85/96	  GET
 Ana Jonalyn Abubo	D-	1×	5/96	  GET
 OzMosis Moe	D-	1×	11/96	  GET
 Xavi Serrat	A+	1×	80/96	  GET
 Forsaken Reaper	A+	1×	75/96	  GET
 Vale Robles	C	1×	96/96	  GET
 Koolza	A+	1×	88/96	  GET
 Suzie C	A+	1×	96/96	  GET
 Richard Bray	F+	1×	38/96	  GET
 Chloe Baxter	A+	1×	89/96	  GET
 E A	D	1×	96/96	  GET
 Rutgersbaby	D+	1×	96/96	  GET
 Peeeettterrrr	F	1×	27/96	  GET
 Rui Soares	F	1×	47/96	  GET
 Karen97	B	1×	68/96	  GET
 Isaac Keyet	F	1×	94/96	  GET
 Emily Kittelson	A+	1×	96/96	  GET
 Gad Tash	B	1×	18/96	  GET
 Kevin Chang	F	1×	84/96	  GET
 Sean Ritner	F	1×	77/96	  GET
 Ben Frank	A+	1×	86/96	  GET
 Grandking	C-	1×	4/96	  GET
 Dinnerandamovie	A-	1×	65/96	  GET
 FlyGirl	A+	1×	96/96	  GET
 PrEditor	A+	1×	13/96	  GET
 Youssef Hachhouch	A+	1×	96/96	  GET
 Fitzwater Donasco	F	1×	7/96	  GET
 sara cannon	B+	1×	79/96	  GET
 Bonnie Nguyen	F	1×	89/96	  GET
 Jenny Hawkyard	F	1×	76/96	  GET
 Tasha Lohr	F	1×	44/96	  GET
 Hannah Williams	B	1×	80/96	  GET
 Julia Hornfeck	D-	1×	22/96	  GET
 Polzert Tan	D	1×	29/96	  GET
 Mallory Molina	C+	1×	71/96	  GET
 Uks2	C+	1×	12/96	  GET
 Ryan O'Sullivan	A+	1×	51/96	  GET
 Samantha Johnson	B+	1×	88/96	  GET
 Lassy Oolorann	B+	1×	68/96	  GET
 Chelsea Z	A+	1×	67/96	  GET
 Cynthia Barrios	A	1×	87/96	  GET
 Vivi Campbell	C	1×	96/96	  GET
 jkrawls	D+	1×	96/96	  GET
 Emilemurdock	D+	1×	13/96	  GET
 babi fer	F	1×	65/96	  GET
 Jack La	F	1×	21/96	  GET
 Mikhaila	D+	1×	62/96	  GET
 Sofi Naydenova	C	1×	8/96	  GET
 Ryan Clark	F	1×	77/96	  GET
 Dave Wilhelm	A+	1×	95/96	  GET
 Jonathan Zhou	C-	1×	74/96	  GET
 Amie Arfman	F	1×	77/96	  GET
 Briana Wiblitzhouser	A+	1×	90/96	  GET
 Emilios	A	1×	92/96	  GET
 Shauna	D+	1×	72/96	  GET
 patricia_incienso	C-	1×	64/96	  GET
 Angela Moore	B	1×	85/96	  GET
 Elka	D	1×	96/96	  GET
 Crack	C-	1×	8/96	  GET
 Ha-Anh Dinh	D	1×	96/96	  GET
 Kefl	D-	1×	69/96	  GET
 Camille Roque	C-	1×	82/96	  GET
 Federico Rampazzo	C+	1×	96/96	  GET
 Blake Bays	B	1×	80/96	  GET
 Luccaso	B+	1×	63/96	  GET
 Ika Suyata	A-	1×	91/96	  GET
 ChoCo	A	1×	31/96	  GET
 Paolo Miguel	D	1×	90/96	  GET
 Michala Červená	F	1×	49/96	  GET
 Zippydanger	F	1×	96/96	  GET
 Sarah Jane	F	1×	96/96	  GET
 Alexis Coronado	F	1×	73/96	  GET
 JJ Craft	A	1×	72/96	  GET
 Semoske	F	1×	81/96	  GET
 Flyingwaffleiron1	C	1×	8/96	  GET
 Sergey Shirokov	A	1×	95/96	  GET
 Ray Ross	A+	1×	86/96	  GET
 Mike Reyes	C	1×	15/96	  GET
 Andreea Danielescu	A+	1×	96/96	  GET
 ar0202	C-	1×	7/96	  GET
 Dean Robinson	A+	1×	91/96	  GET
 Mnemosyne	A+	1×	96/96	  GET
 Thomas Clément	F	1×	76/96	  GET
 Parker Dahl	C	1×	34/96	  GET
 Stephanie Liu	A-	1×	96/96	  GET
 Andrew Smith	C+	1×	84/96	  GET
 Caglar Onder	A+	1×	96/96	  GET
 Hazim Sami	A	1×	96/96	  GET
 Adrian Ronaldson	C	1×	16/96	  GET
 Sparrow3183	A-	1×	73/96	  GET
 Drew Odom	C+	1×	24/96	  GET
 andri kle	F+	1×	96/96	  GET
 Becca W	A-	1×	54/96	  GET
 Julia Vysotskaya	A+	1×	96/96	  GET
 Luke Gibson	A+	1×	95/96	  GET
 Rasterstache	A+	1×	89/96	  GET
 Dinah Griego	A+	1×	90/96	  GET
 Matthew Allen	A+	1×	96/96	  GET
 Matheus Alves	B	1×	9/96	  GET
 Talya Brown	A+	1×	96/96	  GET
 Cloudbreath	B-	1×	96/96	  GET
 Da Ne	A+	1×	96/96	  GET
 rhodychick	A+	1×	87/96	  GET
 Tyler Starzyk	C	1×	6/96	  GET
 Teammisery	A+	1×	18/96	  GET
 Dalila Velasco	F	1×	38/96	  GET
 Tim Latshaw	A	1×	93/96	  GET
 Nitaldevilliers	D	1×	94/96	  GET
 Florence Caplin	A+	1×	92/96	  GET
 Chris Stevens	B+	1×	71/96	  GET
 Chibi17	D+	1×	30/96	  GET
 spooningbards	A+	1×	83/96	  GET
 Brent Metcalf	A+	1×	94/96	  GET
 aamericaport	F	1×	24/96	  GET
 Jessica Kuykendall	B+	1×	96/96	  GET
 myr_heille	A+	1×	96/96	  GET
 Emily Hugo	A+	1×	93/96	  GET
 Macarooni	D+	1×	64/96	  GET
 Filthyelf	F	1×	86/96	  GET
 Devi De Leon	A	1×	94/96	  GET
 James Raymond	B	1×	54/96	  GET
 Marco Sousa	A+	1×	82/96	  GET
 Rubens Andrade	F	1×	33/96	  GET
 Chris Carey	A+	1×	96/96	  GET
 Erista Barista	A+	1×	96/96	  GET
 Zak Rickwalt	C	1×	4/96	  GET
 Fox Solo	F+	1×	94/96	  GET
 Elizabeth Kidder	A+	1×	93/96	  GET
 Cassandra Barrett	A+	1×	96/96	  GET
 Alexander Cedeño Vergara	C	1×	8/96	  GET
 Carol Su	C	1×	64/96	  GET
 KTKatieKate	A+	1×	96/96	  GET
 Clare Lee	D	1×	31/96	  GET
 L3ph4ntom	C+	1×	75/96	  GET
 Lidia Martin	A+	1×	81/96	  GET
 Teresa Lindsay	D-	1×	27/96	  GET
 Hannah Fourn	F	1×	47/96	  GET
 S346676513	C-	1×	38/96	  GET
 Joyce Ann Martin	A	1×	96/96	  GET
 Guillermo Quezada	D	1×	65/96	  GET
 Barkerposey	F+	1×	84/96	  GET
 Irene M	A+	1×	90/96	  GET
 Otto Salminen	F	1×	50/96	  GET
 Nora Hoagg	C-	1×	41/96	  GET
 Danielle Esarey	D+	1×	21/96	  GET
 Yiling Changues	D+	1×	96/96	  GET
 Netschketsch	C-	1×	83/96	  GET
 ztudentkhen	F+	1×	79/96	  GET
 Bibz Didine	A-	1×	96/96	  GET
 Kate B	C	1×	61/96	  GET
 Michael Sinclair	A+	1×	41/96	  GET
 Michael Sacca	A	1×	93/96	  GET
 Sirhobolord	D	1×	23/96	  GET
 Devon Woodrow	F	1×	93/96	  GET
 1980.Tsuki	F+	1×	42/96	  GET
 Jnucreative Nuñez	D-	1×	91/96	  GET
 Xenass	C	1×	94/96	  GET
 Chump Magic	A-	1×	24/96	  GET
 Candoh	A+	1×	96/96	  GET
 Adelino Henriques	F	1×	64/96	  GET
 Eda Wina	A+	1×	73/96	  GET
 Kaiser White	C+	1×	89/96	  GET
 Mrkr Trn	A+	1×	96/96	  GET
 Lena	A+	1×	96/96	  GET
 Amanda Grant	A	1×	96/96	  GET
 MK	A	1×	96/96	  GET
 Whitney	B+	1×	73/96	  GET
 Sindy Lee	F	1×	28/96	  GET
 BeautifulLove	F	1×	77/96	  GET
 Riza Selcuk Saydam	A+	1×	95/96	  GET
 Bauke Schildt	A+	1×	70/96	  GET
 Tate Dance	C-	1×	21/96	  GET
 Robb M.	A+	1×	96/96	  GET
 Kristen Tully	F	1×	84/96	  GET
 Anabelle Michelle	C	1×	86/96	  GET
 James Walker	A+	1×	84/96	  GET
 Mysteriouscube	A	1×	96/96	  GET
 Ricardo Toit	C	1×	92/96	  GET
 Douglas Teixeira Dias	D-	1×	65/96	  GET
 Tim Thomas	A	1×	61/96	  GET
 Lexi Leso	C	1×	4/96	  GET
 Vida Pour	B+	1×	45/96	  GET
 Ms. Marie Mac	A+	1×	88/96	  GET
 Bell	A+	1×	64/96	  GET
 Jelleke	B+	1×	88/96	  GET
 Louis Gale	A+	1×	95/96	  GET
 Micah Valero	C-	1×	5/96	  GET
 Victor Ware	C+	1×	93/96	  GET
 Bonnie	D+	1×	51/96	  GET
 Agnieszka Waszczykowska	D	1×	27/96	  GET
 jay erwin	F	1×	81/96	  GET
 Navi	C	1×	93/96	  GET
 Tijana Jevtic	A+	1×	96/96	  GET
